playerId,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
66209,1,조수행,두산,108,37,30,7,81.1,3,1
79231,2,정수빈,두산,132,39,26,13,66.7,2,1
55208,3,케이브,두산,136,18,17,1,94.4,8,0
63123,4,강승호,두산,115,17,14,3,82.4,3,1
67207,5,이유찬,두산,89,14,12,2,85.7,3,0
55252,6,박준순,두산,91,12,10,2,83.3,5,0
78224,7,김재환,두산,103,9,7,2,77.8,7,0
50208,8,오명진,두산,107,8,5,3,62.5,4,1
76232,9,양의지,두산,130,6,4,2,66.7,5,1
53554,10,김민석,두산,95,5,3,2,60.0,3,1
64468,10,박계범,두산,94,4,3,1,75.0,5,1
66928,10,박준영,두산,41,3,3,0,100,1,0
54214,10,전다민,두산,22,3,3,0,100,0,1
51203,14,안재석,두산,35,3,2,1,66.7,2,0
66112,15,김기연,두산,100,1,1,0,100,1,0
52267,15,김동준,두산,36,2,1,1,50.0,0,0
50204,15,박지훈,두산,37,1,1,0,100,3,0
64153,15,양석환,두산,72,1,1,0,100,1,0
54236,15,임종성,두산,33,1,1,0,100,0,0
51269,20,강현구,두산,1,0,0,0,-,0,0
72523,20,고효준,두산,1,0,0,0,-,0,0
69238,20,김대한,두산,16,1,0,1,0.0,0,0
65269,20,김민혁,두산,10,0,0,0,-,0,0
55216,20,김성재,두산,1,0,0,0,-,0,0
63257,20,김인태,두산,106,1,0,1,0.0,1,0
74206,20,김재호,두산,1,0,0,0,-,0,0
68830,20,김정우,두산,1,0,0,0,-,0,0
55226,20,김준상,두산,9,0,0,0,-,0,0
54263,20,김택연,두산,5,0,0,0,-,0,0
55221,20,김한중,두산,1,0,0,0,-,0,0
68269,20,김호준,두산,1,0,0,0,-,0,0
54219,20,류현준,두산,17,0,0,0,-,0,0
53204,20,박민준,두산,7,0,0,0,-,0,0
51298,20,박성재,두산,6,0,0,0,-,0,0
68249,20,박신지,두산,1,0,0,0,-,0,0
67266,20,박치국,두산,1,0,0,0,-,0,0
55215,20,양재훈,두산,1,0,0,0,-,0,0
54205,20,여동건,두산,19,1,0,1,0.0,0,0
55224,20,이선우,두산,10,0,0,0,-,0,0
66291,20,이영하,두산,1,0,0,0,-,0,0
63202,20,장승현,두산,4,0,0,0,-,0,0
52208,20,천현재,두산,3,0,0,0,-,1,0
67263,20,최원준,두산,1,0,0,0,-,0,0
68362,20,추재현,두산,34,0,0,0,-,0,0
55267,20,홍민규,두산,2,0,0,0,-,0,0
66233,20,홍성호,두산,9,0,0,0,-,0,0
